titulo,autor,disponibilidad,link,categoria,moneda,precio_numero
HERBARIA,DOMITILLA DARDI,Disponible,/p/herbaria/156849/266902,Arte,UYU,2286.5
RÍTMICA Y CREACIÓN,ÉMILE JAQUES-DALCROZE,Disponible,/p/ritmica-y-creacion/122577/125425,Arte,UYU,926.5
ZURBARAN,ISABEL SANCHEZ QUEVEDO,Disponible,/p/zurbaran/59086/102994,Arte,UYU,306.0
"MATERIALES, PROCEDIMIENTOS Y TEC.PICTORICAS II",MANUEL HUERTAS TORREJÓN,Disponible,/p/materiales-procedimientos-y-tec-pictoricas-ii/99916/103502,Arte,UYU,1946.5
"MATERIALES, PROCEDIMIENTOS Y TEC.PICTORICAS I",MANUEL HUERTAS TORREJÓN,Disponible,/p/materiales-procedimientos-y-tec-pictoricas-i/98578/102083,Arte,UYU,1776.5
DON JUAN TENORIO,JOSE ZORRILLA,Disponible,/p/don-juan-tenorio/98719/102233,Arte,UYU,501.5
AUGUSTO BOURNONVILLE. HISTORIA Y ESTILO,ELNA MATAMOROS OCAÑA,Disponible,/p/augusto-bournonville-historia-y-estilo/100014/103603,Arte,UYU,697.0
ARTE CELTA (ARTE EN CONTEXTO),MIRANDA GREEN,Disponible,/p/arte-celta-arte-en-contexto-/99268/102808,Arte,UYU,833.0
LES DINERS DE GALA,SALVADOR DALÍ,Disponible,/p/les-diners-de-gala/153590/263402,Arte,UYU,1105.0
GAUGUIN,"WALTHER, INGO",Disponible,/p/gauguin/64406/65959,Arte,UYU,1105.0
REMBRANDT,BOCKEMUHL MICHAEL,Disponible,/p/rembrandt/105260/109028,Arte,UYU,1105.0
VERMEER,NORBERT SCHNEIDER,Disponible,/p/vermeer/71283/267599,Arte,UYU,1105.0
TOULOUSE-LAUTREC,"ARNOLD, MATTHIAS",Disponible,/p/toulouse-lautrec/64017/65561,Arte,UYU,1105.0
TIZIANO,IAN G. KENNEDY,Disponible,/p/tiziano/113023/117183,Arte,UYU,1105.0
CEZANNE,BECKS-MALORNY ULRIKE,Disponible,/p/cezanne/112044/116168,Arte,UYU,1105.0
EL COLOR EN CIEN PALABRAS,AMANDINE GALLIENNE,Disponible,/p/el-color-en-cien-palabras/172846/276736,Arte,UYU,671.5
EL ARTE HOY,JUAN LUC NANCY,Disponible,/p/el-arte-hoy/158864/269049,Arte,UYU,731.0
PEQUEÑO LIBRO DE... EGIPTO,AMELIE POGGI,Disponible,/p/pequeno-libro-de-egipto/168857/272933,Arte,UYU,926.5
MÁS TE VALE HACER RUIDO (PALABRAS PARA CAMBIAR EL MUNDO),VV.AA.,Disponible,/p/mas-te-vale-hacer-ruido-palabras-para-cambiar-el-mundo-/101594/105217,Arte,UYU,1011.5
ACTANTES. CAJA DE HERRAMIENTAS DE USO GRAFICO,"CASAMARIO, EDICIONES DOCUMENTA",Disponible,/p/actantes-caja-de-herramientas-de-uso-grafico/172458/276320,Arte,UYU,680.0
CARTAS A VINCENT,JULIO CÉSAR PÉREZ,Disponible,/p/cartas-a-vincent/156845/266898,Arte,UYU,1266.5
MONSTRUOS COMO NOSOTROS,OMAR LÓPEZ MATO,Disponible,/p/monstruos-como-nosotros/172393/276256,Arte,UYU,1275.0
"JOAQUIN TORRES GARCIA. 
EL DESCUBRIMIENTO DE SÍ MISMO",JOAQUIN TORRES GARCIA,Disponible,/p/joaquin-torres-garcia-el-descubrimiento-de-si-mismo/170810/274679,Arte,UYU,2125.0
SE EXPANDE,RUBÉN QUEPFERT,Disponible,/p/se-expande/157187/267250,Arte,UYU,425.0
OCTAVIO PODESTÁ. TRAS LA FORMA,PELUFFO LINARI GABRIEL,Disponible,/p/octavio-podesta-tras-la-forma/155586/265573,Arte,UYU,1360.0
LA MAREA DE LOS TIEMPOS,OMAR LÓPEZ MATO,Disponible,/p/la-marea-de-los-tiempos/172392/276255,Arte,UYU,1487.5
TRAZO Y COLOR. ESENCIAS DE LA PINTURA JAPONESA,VARIOS AUTORES,Disponible,/p/trazo-y-color-esencias-de-la-pintura-japonesa/172338/276208,Arte,UYU,1351.5
CARTAS A THEO,VINCENT VAN GOGH,Disponible,/p/cartas-a-theo/454/276073,Arte,UYU,297.5
CUADERNO DE NOTAS,LEONARDO DA VINCI,Disponible,/p/cuaderno-de-notas/155354/276099,Arte,UYU,297.5
CUADERNOS DE DIBUJO,SERGIO ALTESOR LICANDRO,Disponible,/p/cuadernos-de-dibujo/109644/113674,Arte,UYU,637.5
DIARIO: CÓMO MEJORAR EL MUNDO,JOHN CAGE,Disponible,/p/diario-como-mejorar-el-mundo/169841/273878,Arte,UYU,1181.5
INFRAESTRUCTURA,XABIER SALABERRIA,Disponible,/p/infraestructura/171857/275719,Arte,UYU,2286.5
SU FRIEDRICH. CONVERSACIONES CON SCOTT MACDONALDS,SU FRIEDERICH / SCOTT MACDONALD,Disponible,/p/su-friedrich-conversaciones-con-scott-macdonalds/171849/275711,Arte,UYU,1436.5
OTROS EJEMPLOS RECIENTES,ALEJANDRO CESARCO,Disponible,/p/otros-ejemplos-recientes/171848/275710,Arte,UYU,1606.5
EL ENSAYO EMPIEZA AQUÍ,VV.AA.,Disponible,/p/el-ensayo-empieza-aqui/171847/275709,Arte,UYU,1436.5
TRABAJO PARA ALQUILAR. CASA DE BALNEARIO,CASA DE BALNEARIO,Disponible,/p/trabajo-para-alquilar-casa-de-balneario/159673/269888,Arte,UYU,552.5
AHORA ME CUADRA,BIANCA BOSKER,Disponible,/p/ahora-me-cuadra/171952/275806,Arte,UYU,1360.0
HUMORES Y ESPESORES,LILIAN RODRIGUEZ MENDEZ,Disponible,/p/humores-y-espesores/171855/275717,Arte,UYU,1946.5
UNA CASA FUERA DE SÍ,VÍCTOR NAVARRO,Disponible,/p/una-casa-fuera-de-si/171833/275695,Arte,UYU,756.5
AUTOBIOGRAFIA. MIGUEL FISAC,MIGUEL FISAC,Disponible,/p/autobiografia-miguel-fisac/171834/275696,Arte,UYU,926.5
CAPITAL DE PROVINCIA,CARLOS ROMERO REY,Disponible,/p/capital-de-provincia/171835/275697,Arte,UYU,1181.5
SUEÑOS,ITZIAR OKARIZ,Disponible,/p/suenos/171838/275700,Arte,UYU,1181.5
EL CINE DE PETER NESTLER,PETER NESTLER / ZSÓKA NESTLER,Disponible,/p/el-cine-de-peter-nestler/171850/275712,Arte,UYU,1606.5
STORIES,ALMUDENA LOBERA,Disponible,/p/stories/171851/275713,Arte,UYU,1606.5
A ROCK TURNS INTO A FROG,CARLOS IRIJALBA,Disponible,/p/a-rock-turns-into-a-frog/171861/275723,Arte,UYU,1946.5
EDUCAR ES REDIMIR / ESCALA 1:1,MIGUEL BENJUMEA,Disponible,/p/educar-es-redimir-escala-1-1/171860/275722,Arte,UYU,2533.0
CHÁCHARA Y OTRAS HISTORIAS DE ARQUITECTURA,MOISÉS PUENTE,Disponible,/p/chachara-y-otras-historias-de-arquitectura/171836/275698,Arte,UYU,1181.5
RIO,JORGE SATORRE,Disponible,/p/rio/171858/275720,Arte,UYU,2116.5
VASCULAR,JUNE CRESPO,Disponible,/p/vascular/171856/275718,Arte,UYU,2031.5
VULNERARIO,JON MIKEL EUBA,Disponible,/p/vulnerario/171853/275715,Arte,UYU,1606.5
EL ARCHIVO DEL POLVO,ELENA DEL RIVERO,Disponible,/p/el-archivo-del-polvo/171844/275706,Arte,UYU,1521.5
