titulo,autor,precio,disponibilidad,link,categoria
100 ARTISTAS ARGENTINAS,VV.AA.,"UYU 1.946,50",Disponible,/p/100-artistas-argentinas/173407/277266,Arte
DIBUJOS RECUPERADOS. FRANZ KAFKA,FRANZ KAFKA,"UYU 926,50",Disponible,/p/dibujos-recuperados-franz-kafka/143412/252562,Arte
CHINA EN EL ARTE Y LA PRODUCCION CULTURAL CONTEMPORANEA GLOBAL,VV.AA.,"UYU 1.096,50",Disponible,/p/china-en-el-arte-y-la-produccion-cultural-contemporanea-global/173421/277280,Arte
DEVENIR OBRA DE ARTE,BORIS GROYS,UYU 714,Disponible,/p/devenir-obra-de-arte/139661/145236,Arte
"ARTISTAS LATINOAMERICANOS, DESDE 1785 HASTA HOY",VV.AA.,UYU 4.233,Disponible,/p/artistas-latinoamericanos-desde-1785-hasta-hoy/146327/255689,Arte
LA HISTORIA DEL ARTE,E. H. GOMBRICH,"UYU 3.306,50",Disponible,/p/la-historia-del-arte/99904/103489,Arte
LA EXPLOTACIÓN MERCANTIL DEL PASADO,"ARNAUD, LUC","UYU 501,50",Disponible,/p/la-explotacion-mercantil-del-pasado/110646/114724,Arte
UNA HISTORIA SIN FINAL,CARLO GINZBURG,"UYU 1.351,50",Disponible,/p/una-historia-sin-final/159241/269434,Arte
PSICOLOGÍA DEL KITSCH,ABRAHAM A. MOLES,"UYU 756,50",Disponible,/p/psicologia-del-kitsch/172872/276762,Arte
SANGRE O KÉTCHUP,"RESTREPO, GARCÍA WEHBI",UYU 816,Disponible,/p/sangre-o-ketchup/128374/131329,Arte
INTRODUCCIÓN AL ARTE CONTEMPORÁNEO,ANNE CAUQUELIN,"UYU 586,50",Disponible,/p/introduccion-al-arte-contemporaneo/148397/257880,Arte
¿QUÉ ES EL ARTE?,GUIDO (ED.) INDIJ,"UYU 756,50",Disponible,/p/-iquest-que-es-el-arte-/102932/106600,Arte
BARCOS,"LAVERY, BRIAN",UYU 2.533,Disponible,/p/barcos/126768/128925,Arte
